3.5,0.1
3.5,0.2
3.5,0.3
3.5,0.4
3.5,0.5
3.5,0.6
3.5,0.7
3.5,0.8
3.5,0.9
3.6,0.1
3.6,0.2
3.6,0.3
3.6,0.4
3.6,0.5
3.6,0.6
3.6,0.7
3.6,0.8
3.6,0.9
3.7,0.1
3.7,0.2
3.7,0.3
3.7,0.4
3.7,0.5
3.7,0.6
3.7,0.7
3.7,0.8
3.7,0.9
3.8,0.1
3.8,0.2
3.8,0.3
3.8,0.4
3.8,0.5
3.8,0.6
3.8,0.7
3.8,0.8
3.8,0.9
3.9,0.1
3.9,0.2
3.9,0.3
3.9,0.4
3.9,0.5
3.9,0.6
3.9,0.7
3.9,0.8
3.9,0.9
4,0.1
4,0.2
4,0.3
4,0.4
4,0.5
4,0.6
4,0.7
4,0.8
4,0.9
4.1,0.1
4.1,0.2
4.1,0.3
4.1,0.4
4.1,0.5
4.1,0.6
4.1,0.7
4.1,0.8
4.1,0.9
4.2,0.1
4.2,0.2
4.2,0.3
4.2,0.4
4.2,0.5
4.2,0.6
4.2,0.7
4.2,0.8
4.2,0.9
4.3,0.1
4.3,0.2
4.3,0.3
4.3,0.4
4.3,0.5
4.3,0.6
4.3,0.7
4.3,0.8
4.3,0.9
4.4,0.1
4.4,0.2
4.4,0.3
4.4,0.4
4.4,0.5
4.4,0.6
4.4,0.7
4.4,0.8
4.4,0.9
4.5,0.1
4.5,0.2
4.5,0.3
4.5,0.4
4.5,0.5
4.5,0.6
4.5,0.7
4.5,0.8
4.5,0.9
4.6,0.1
4.6,0.2
4.6,0.3
4.6,0.4
4.6,0.5
4.6,0.6
4.6,0.7
4.6,0.8
4.6,0.9
4.7,0.1
4.7,0.2
4.7,0.3
4.7,0.4
4.7,0.5
4.7,0.6
4.7,0.7
4.7,0.8
4.7,0.9
4.8,0.1
4.8,0.2
4.8,0.3
4.8,0.4
4.8,0.5
4.8,0.6
4.8,0.7
4.8,0.8
4.8,0.9
4.9,0.1
4.9,0.2
4.9,0.3
4.9,0.4
4.9,0.5
4.9,0.6
4.9,0.7
4.9,0.8
4.9,0.9
5,0.1
5,0.2
5,0.3
5,0.4
5,0.5
5,0.6
5,0.7
5,0.8
5,0.9
